YM,Type,Policy_Rate,US_TP10,US_TP10_base,US_TP10_up,US_TP10_down,US_TP10_bp,US_TP10_base_bp,US_TP10_up_bp,US_TP10_down_bp,Yield_2Y,RN_2Y,TP_2Y,Yield_5Y,RN_5Y,TP_5Y,Yield_10Y,RN_10Y,TP_10Y,Yield_20Y,RN_20Y,TP_20Y,Yield_30Y,RN_30Y,TP_30Y,Yield_40Y,RN_40Y,TP_40Y,Fan_hi_10Y,Fan_lo_10Y,Fan_hi_TP_10Y,Fan_lo_TP_10Y,Fan_hi_20Y,Fan_lo_20Y,Fan_hi_TP_20Y,Fan_lo_TP_20Y,Fan_hi_30Y,Fan_lo_30Y,Fan_hi_TP_30Y,Fan_lo_TP_30Y,Fan_hi_40Y,Fan_lo_40Y,Fan_hi_TP_40Y,Fan_lo_TP_40Y
2003-05,actual,0.0020,1.8214,,,,182.1,,,,0.0448,0.0255,0.0193,0.2171,0.1171,0.1001,0.5358,0.2438,0.2920,1.0063,0.4116,0.5947,1.1336,0.4954,0.6382,,,,,,,,,,,,,,,,,,,
2003-06,actual,0.0010,1.9654,,,,196.5,,,,0.0753,0.0536,0.0217,0.4148,0.1608,0.2541,0.8533,0.2994,0.5539,1.2833,0.4743,0.8091,1.4265,0.5584,0.8681,,,,,,,,,,,,,,,,,,,
2003-07,actual,0.0020,2.7973,,,,279.7,,,,0.0751,0.0647,0.0104,0.3871,0.1964,0.1907,0.9668,0.3485,0.6183,1.5540,0.5213,1.0327,1.7913,0.5984,1.1929,,,,,,,,,,,,,,,,,,,
2003-08,actual,0.0010,2.5330,,,,253.3,,,,0.1943,0.0878,0.1065,0.7716,0.1843,0.5873,1.4827,0.3097,1.1730,1.9528,0.4792,1.4736,2.0733,0.5616,1.5117,,,,,,,,,,,,,,,,,,,
2003-09,actual,0.0130,2.3096,,,,231.0,,,,0.1823,0.0646,0.1177,0.7277,0.1639,0.5638,1.4677,0.2962,1.1716,1.9624,0.4702,1.4923,2.0890,0.5548,1.5342,,,,,,,,,,,,,,,,,,,
2003-10,actual,0.0020,2.4541,,,,245.4,,,,0.1314,0.0758,0.0556,0.7241,0.1950,0.5291,1.5348,0.3401,1.1947,2.1204,0.5212,1.5991,2.2935,0.6077,1.6858,,,,,,,,,,,,,,,,,,,
2003-11,actual,0.0010,2.3336,,,,233.4,,,,0.1243,0.0822,0.0421,0.6602,0.2196,0.4406,1.3824,0.3777,1.0047,1.9182,0.5592,1.3590,2.1363,0.6405,1.4957,,,,,,,,,,,,,,,,,,,
2003-12,actual,0.0010,2.3443,,,,234.4,,,,0.1004,0.0834,0.0169,0.6754,0.2185,0.4569,1.4391,0.3766,1.0626,1.9631,0.5666,1.3965,2.1705,0.6563,1.5143,,,,,,,,,,,,,,,,,,,
2004-01,actual,0.0010,2.2084,,,,220.8,,,,0.0667,0.0575,0.0093,0.6108,0.1937,0.4171,1.4104,0.3563,1.0541,1.9765,0.5507,1.4258,2.1865,0.6435,1.5430,,,,,,,,,,,,,,,,,,,
2004-02,actual,0.0010,2.0919,,,,209.2,,,,0.0555,0.0981,-0.0426,0.5501,0.2585,0.2916,1.3466,0.4334,0.9133,1.9176,0.6300,1.2876,2.2144,0.7197,1.4947,,,,,,,,,,,,,,,,,,,
2004-03,actual,0.0050,2.0882,,,,208.8,,,,0.1224,0.1061,0.0163,0.7314,0.2817,0.4497,1.5318,0.4702,1.0616,2.0190,0.6689,1.3501,2.3227,0.7537,1.5689,,,,,,,,,,,,,,,,,,,
2004-04,actual,0.0010,2.3061,,,,230.6,,,,0.1360,0.1094,0.0266,0.7984,0.3173,0.4811,1.6466,0.5330,1.1136,2.1534,0.7427,1.4107,2.5209,0.8272,1.6937,,,,,,,,,,,,,,,,,,,
2004-05,actual,0.0020,2.3114,,,,231.1,,,,0.1379,0.0981,0.0398,0.8013,0.2874,0.5139,1.6569,0.4914,1.1655,2.1679,0.7015,1.4664,2.4888,0.7918,1.6970,,,,,,,,,,,,,,,,,,,
2004-06,actual,0.0020,2.1408,,,,214.1,,,,0.1716,0.1263,0.0453,0.9405,0.3043,0.6362,1.8950,0.4938,1.4012,2.4020,0.6987,1.7033,2.7030,0.7883,1.9147,,,,,,,,,,,,,,,,,,,
2004-07,actual,0.0010,2.0104,,,,201.0,,,,0.2110,0.1048,0.1061,1.0160,0.3049,0.7111,1.9878,0.5207,1.4670,2.5570,0.7397,1.8173,2.8841,0.8340,2.0501,,,,,,,,,,,,,,,,,,,
2004-08,actual,0.0010,1.8130,,,,181.3,,,,0.1493,0.1314,0.0179,0.8186,0.3433,0.4753,1.6970,0.5601,1.1369,2.2481,0.7736,1.4745,2.6397,0.8621,1.7776,,,,,,,,,,,,,,,,,,,
2004-09,actual,0.0050,1.6381,,,,163.8,,,,0.1299,0.1323,-0.0024,0.7419,0.3438,0.3981,1.5690,0.5592,1.0097,2.1411,0.7717,1.3694,2.5402,0.8601,1.6801,,,,,,,,,,,,,,,,,,,
2004-10,actual,0.0020,1.5566,,,,155.7,,,,0.1204,0.1335,-0.0131,0.7531,0.3733,0.3798,1.6249,0.6129,1.0119,2.1795,0.8367,1.3428,2.6402,0.9260,1.7142,,,,,,,,,,,,,,,,,,,
2004-11,actual,0.0010,1.5592,,,,155.9,,,,0.1022,0.1248,-0.0226,0.7203,0.3641,0.3562,1.5973,0.6042,0.9931,2.1428,0.8296,1.3132,2.6026,0.9203,1.6823,,,,,,,,,,,,,,,,,,,
2004-12,actual,0.0020,1.3378,,,,133.8,,,,0.1026,0.1205,-0.0180,0.7095,0.3525,0.3569,1.5643,0.5910,0.9733,2.1159,0.8246,1.2914,2.5549,0.9252,1.6297,,,,,,,,,,,,,,,,,,,
2005-01,actual,0.0010,0.9753,,,,97.5,,,,0.0856,0.1267,-0.0411,0.6324,0.3667,0.2657,1.4599,0.6089,0.8511,2.0428,0.8409,1.2019,2.5155,0.9389,1.5766,,,,,,,,,,,,,,,,,,,
2005-02,actual,0.0010,0.9449,,,,94.5,,,,0.1242,0.1286,-0.0044,0.7556,0.3730,0.3825,1.5987,0.6203,0.9784,2.1384,0.8538,1.2846,2.6010,0.9504,1.6507,,,,,,,,,,,,,,,,,,,
2005-03,actual,0.0220,0.9621,,,,96.2,,,,0.0985,0.1109,-0.0123,0.6232,0.3268,0.2964,1.4555,0.5552,0.9003,2.0189,0.7886,1.2303,2.4360,0.8942,1.5418,,,,,,,,,,,,,,,,,,,
2005-04,actual,0.0010,0.7168,,,,71.7,,,,0.0724,0.1201,-0.0476,0.5151,0.3505,0.1646,1.3648,0.5886,0.7763,1.9432,0.8286,1.1146,2.4204,0.9376,1.4829,,,,,,,,,,,,,,,,,,,
2005-05,actual,0.0020,0.5041,,,,50.4,,,,0.0756,0.1231,-0.0476,0.5161,0.3586,0.1575,1.3870,0.5999,0.7872,1.9785,0.8397,1.1388,2.4726,0.9470,1.5255,,,,,,,,,,,,,,,,,,,
2005-06,actual,0.0010,0.3476,,,,34.8,,,,0.0687,0.1120,-0.0433,0.4622,0.3403,0.1219,1.2845,0.5785,0.7059,1.9170,0.8187,1.0983,2.3930,0.9290,1.4640,,,,,,,,,,,,,,,,,,,
2005-07,actual,0.0010,0.4175,,,,41.7,,,,0.1105,0.1354,-0.0249,0.6137,0.3803,0.2334,1.4481,0.6311,0.8170,2.0721,0.8776,1.1945,2.5687,0.9886,1.5800,,,,,,,,,,,,,,,,,,,
2005-08,actual,0.0010,0.2626,,,,26.3,,,,0.1389,0.1280,0.0109,0.6538,0.3612,0.2926,1.4881,0.6057,0.8824,2.0913,0.8530,1.2383,2.5544,0.9676,1.5868,,,,,,,,,,,,,,,,,,,
2005-09,actual,0.0040,0.4378,,,,43.8,,,,0.2306,0.1220,0.1087,0.8603,0.3669,0.4934,1.5947,0.6270,0.9677,2.1192,0.8784,1.2408,2.5577,0.9903,1.5674,,,,,,,,,,,,,,,,,,,
2005-10,actual,0.0000,0.5163,,,,51.6,,,,0.2875,0.1218,0.1657,0.9283,0.3672,0.5612,1.6807,0.6303,1.0504,2.1382,0.8829,1.2553,2.5764,0.9945,1.5819,,,,,,,,,,,,,,,,,,,
2005-11,actual,0.0010,0.4884,,,,48.8,,,,0.2323,0.1294,0.1028,0.8263,0.3890,0.4373,1.5756,0.6622,0.9134,2.0707,0.9220,1.1487,2.5540,1.0373,1.5168,,,,,,,,,,,,,,,,,,,
2005-12,actual,0.0040,0.2286,,,,22.9,,,,0.2840,0.1914,0.0925,0.9039,0.4128,0.4912,1.5855,0.6414,0.9442,2.0461,0.8775,1.1686,2.4694,0.9864,1.4830,,,,,,,,,,,,,,,,,,,
2006-01,actual,0.0010,0.2766,,,,27.7,,,,0.3103,0.2035,0.1068,0.9726,0.4293,0.5433,1.6724,0.6602,1.0122,2.1095,0.8952,1.2143,2.5389,1.0014,1.5376,,,,,,,,,,,,,,,,,,,
2006-02,actual,0.0020,0.1413,,,,14.1,,,,0.4918,0.2898,0.2021,1.1472,0.4565,0.6907,1.6845,0.6294,1.0551,2.0315,0.8347,1.1968,2.3554,0.9353,1.4201,,,,,,,,,,,,,,,,,,,
2006-03,actual,0.0040,0.4732,,,,47.3,,,,0.6750,0.3838,0.2913,1.3400,0.5023,0.8376,1.8272,0.6262,1.2010,2.0826,0.8103,1.2723,2.3399,0.9097,1.4303,,,,,,,,,,,,,,,,,,,
2006-04,actual,0.0060,0.7142,,,,71.4,,,,0.6625,0.4167,0.2458,1.4024,0.5425,0.8599,2.0076,0.6638,1.3438,2.2739,0.8429,1.4310,2.5630,0.9368,1.6262,,,,,,,,,,,,,,,,,,,
2006-05,actual,0.0210,0.6737,,,,67.4,,,,0.8300,0.5248,0.3053,1.3727,0.5980,0.7747,1.9127,0.6675,1.2452,2.2184,0.8120,1.4064,2.4727,0.8950,1.5777,,,,,,,,,,,,,,,,,,,
2006-06,actual,0.0270,0.5860,,,,58.6,,,,0.8583,0.5581,0.3002,1.4433,0.6417,0.8016,1.9941,0.7165,1.2776,2.3439,0.8560,1.4880,2.6232,0.9317,1.6915,,,,,,,,,,,,,,,,,,,
2006-07,actual,0.2670,0.5150,,,,51.5,,,,0.8645,0.5574,0.3070,1.4324,0.6415,0.7909,2.0003,0.7294,1.2709,2.3958,0.8727,1.5230,2.6780,0.9470,1.7310,,,,,,,,,,,,,,,,,,,
2006-08,actual,0.2660,0.3654,,,,36.5,,,,0.6782,0.4506,0.2276,1.1284,0.5701,0.5583,1.7032,0.7021,1.0011,2.1986,0.8750,1.3237,2.5349,0.9628,1.5721,,,,,,,,,,,,,,,,,,,
2006-09,actual,0.3390,0.3009,,,,30.1,,,,0.6937,0.4864,0.2073,1.1450,0.6004,0.5446,1.7357,0.7228,1.0129,2.2320,0.8815,1.3505,2.5761,0.9578,1.6183,,,,,,,,,,,,,,,,,,,
2006-10,actual,0.2560,0.2599,,,,26.0,,,,0.7661,0.5547,0.2114,1.2120,0.6509,0.5611,1.7797,0.7433,1.0365,2.2389,0.8859,1.3530,2.5791,0.9581,1.6210,,,,,,,,,,,,,,,,,,,
2006-11,actual,0.2710,0.1575,,,,15.7,,,,0.8481,0.5793,0.2688,1.2185,0.6537,0.5648,1.7102,0.7315,0.9787,2.1659,0.8597,1.3062,2.4662,0.9249,1.5414,,,,,,,,,,,,,,,,,,,
2006-12,actual,0.2750,0.3012,,,,30.1,,,,0.8936,0.6047,0.2890,1.3021,0.6792,0.6229,1.7483,0.7570,0.9913,2.1456,0.8818,1.2638,2.4361,0.9432,1.4929,,,,,,,,,,,,,,,,,,,
2007-01,actual,0.2820,0.3290,,,,32.9,,,,0.7939,0.5438,0.2501,1.2188,0.6324,0.5865,1.7418,0.7259,1.0159,2.1906,0.8628,1.3278,2.4969,0.9295,1.5674,,,,,,,,,,,,,,,,,,,
2007-02,actual,0.5890,0.2780,,,,27.8,,,,0.9246,0.6166,0.3080,1.2139,0.6755,0.5384,1.6596,0.7576,0.9020,2.1047,0.8831,1.2215,2.3892,0.9445,1.4447,,,,,,,,,,,,,,,,,,,
2007-03,actual,0.7150,0.4422,,,,44.2,,,,0.9053,0.6226,0.2827,1.1935,0.6925,0.5010,1.6692,0.7858,0.8834,2.1358,0.9129,1.2230,2.4543,0.9704,1.4839,,,,,,,,,,,,,,,,,,,
2007-04,actual,0.5390,0.3985,,,,39.8,,,,0.9343,0.6806,0.2537,1.2023,0.7318,0.4705,1.6393,0.7900,0.8493,2.1081,0.8928,1.2153,2.4146,0.9403,1.4743,,,,,,,,,,,,,,,,,,,
2007-05,actual,0.5440,0.4523,,,,45.2,,,,1.0450,0.7726,0.2724,1.3464,0.7932,0.5531,1.7513,0.8126,0.9387,2.1774,0.8877,1.2897,2.4484,0.9225,1.5260,,,,,,,,,,,,,,,,,,,
2007-06,actual,0.6050,0.6356,,,,63.6,,,,1.0968,0.8214,0.2754,1.4604,0.8417,0.6187,1.8717,0.8575,1.0142,2.2896,0.9252,1.3643,2.5656,0.9532,1.6125,,,,,,,,,,,,,,,,,,,
2007-07,actual,0.5160,0.6243,,,,62.4,,,,1.0283,0.8185,0.2098,1.3707,0.8385,0.5322,1.7955,0.8467,0.9488,2.2699,0.9045,1.3653,2.5495,0.9256,1.6239,,,,,,,,,,,,,,,,,,,
2007-08,actual,0.4980,0.7746,,,,77.5,,,,0.9442,0.7092,0.2350,1.1760,0.7455,0.4305,1.6131,0.7811,0.8320,2.1894,0.8584,1.3310,2.4860,0.8900,1.5960,,,,,,,,,,,,,,,,,,,
2007-09,actual,0.6750,0.9725,,,,97.3,,,,0.8897,0.6900,0.1996,1.1950,0.7458,0.4493,1.6737,0.8053,0.8684,2.2465,0.8915,1.3550,2.5652,0.9206,1.6446,,,,,,,,,,,,,,,,,,,
2007-10,actual,0.5240,0.8743,,,,87.4,,,,0.8351,0.6657,0.1694,1.0971,0.7257,0.3715,1.6180,0.7823,0.8357,2.2606,0.8697,1.3909,2.5980,0.9019,1.6961,,,,,,,,,,,,,,,,,,,
2007-11,actual,0.5200,1.1129,,,,111.3,,,,0.8276,0.6082,0.2194,1.0414,0.6590,0.3824,1.4946,0.7174,0.7771,2.1307,0.8061,1.3246,2.4219,0.8400,1.5819,2.5489,0.9032,1.6458,,,,,,,,,,,,,,,,
2007-12,actual,0.4590,1.2408,,,,124.1,,,,0.7696,0.5493,0.2204,1.0136,0.6110,0.4026,1.4944,0.6838,0.8105,2.1679,0.7834,1.3844,2.4514,0.8228,1.6285,2.5830,0.8891,1.6939,,,,,,,,,,,,,,,,
2008-01,actual,0.5080,1.5579,,,,155.8,,,,0.6491,0.4427,0.2063,0.9073,0.5358,0.3716,1.4420,0.6511,0.7909,2.1719,0.7743,1.3976,2.4753,0.8201,1.6552,2.6940,0.8873,1.8066,,,,,,,,,,,,,,,,
2008-02,actual,0.5120,1.8053,,,,180.5,,,,0.6551,0.4395,0.2156,0.8531,0.5218,0.3313,1.3772,0.6287,0.7485,2.0916,0.7432,1.3484,2.3808,0.7840,1.5968,2.6149,0.8491,1.7658,,,,,,,,,,,,,,,,
2008-03,actual,0.6410,1.9304,,,,193.0,,,,0.6241,0.4135,0.2106,0.7494,0.4961,0.2533,1.2919,0.6097,0.6822,2.2075,0.7276,1.4798,2.5128,0.7712,1.7416,2.7675,0.8379,1.9296,,,,,,,,,,,,,,,,
2008-04,actual,0.5220,1.5697,,,,157.0,,,,0.8294,0.5566,0.2728,1.1509,0.6351,0.5158,1.5897,0.7202,0.8695,2.2661,0.8050,1.4611,2.5644,0.8232,1.7412,2.7679,0.8735,1.8944,,,,,,,,,,,,,,,,
2008-05,actual,0.5270,1.5776,,,,157.8,,,,0.9377,0.6164,0.3213,1.3564,0.6497,0.7067,1.7816,0.6890,1.0926,2.3749,0.7517,1.6232,2.5811,0.7651,1.8161,2.7340,0.8170,1.9170,,,,,,,,,,,,,,,,
2008-06,actual,0.5720,1.4424,,,,144.2,,,,0.9039,0.5978,0.3061,1.1859,0.6247,0.5612,1.6277,0.6593,0.9685,2.2818,0.7154,1.5664,2.5076,0.7248,1.7828,2.6550,0.7752,1.8798,,,,,,,,,,,,,,,,
2008-07,actual,0.5190,1.5821,,,,158.2,,,,0.8400,0.5599,0.2801,1.1215,0.5995,0.5220,1.5626,0.6469,0.9156,2.2961,0.7095,1.5866,2.5289,0.7211,1.8078,2.7178,0.7721,1.9457,,,,,,,,,,,,,,,,
2008-08,actual,0.5160,1.5529,,,,155.3,,,,0.7507,0.5248,0.2259,0.9932,0.5690,0.4242,1.4456,0.6205,0.8250,2.1883,0.6815,1.5068,2.4268,0.6892,1.7377,2.6284,0.7378,1.8905,,,,,,,,,,,,,,,,
2008-09,actual,0.5440,2.0316,,,,203.2,,,,0.7870,0.4825,0.3045,1.0653,0.5174,0.5479,1.4966,0.5722,0.9244,2.2205,0.6408,1.5797,2.4059,0.6555,1.7504,2.6019,0.7094,1.8925,,,,,,,,,,,,,,,,
2008-10,actual,0.3840,3.4375,,,,343.7,,,,0.5630,0.2663,0.2966,0.8961,0.3123,0.5839,1.5030,0.3953,1.1077,2.2468,0.5032,1.7436,2.3750,0.5456,1.8294,2.5676,0.6191,1.9484,,,,,,,,,,,,,,,,
2008-11,actual,0.3180,2.3925,,,,239.3,,,,0.6716,0.2699,0.4017,0.9083,0.2980,0.6103,1.4616,0.3671,1.0946,2.1951,0.4706,1.7245,2.3042,0.5166,1.7876,2.4208,0.5942,1.8266,,,,,,,,,,,,,,,,
2008-12,actual,0.1030,1.4709,,,,147.1,,,,0.4241,0.0871,0.3370,0.7139,0.1461,0.5678,1.2221,0.2503,0.9717,1.8099,0.3890,1.4209,1.8906,0.4541,1.4365,2.0590,0.5438,1.5152,,,,,,,,,,,,,,,,
2009-01,actual,0.1280,2.2296,,,,223.0,,,,0.4399,0.1266,0.3133,0.7559,0.1796,0.5763,1.3428,0.2735,1.0693,1.9853,0.4044,1.5809,2.0748,0.4657,1.6092,2.2198,0.5533,1.6665,,,,,,,,,,,,,,,,
2009-02,actual,0.1090,2.2563,,,,225.6,,,,0.4281,0.1172,0.3110,0.7265,0.1744,0.5522,1.3438,0.2712,1.0726,1.9900,0.4038,1.5862,2.0950,0.4655,1.6295,2.1230,0.5533,1.5697,,,,,,,,,,,,,,,,
2009-03,actual,0.0880,1.7040,,,,170.4,,,,0.4275,0.1341,0.2935,0.8016,0.2068,0.5948,1.4087,0.3116,1.0971,2.0266,0.4429,1.5836,2.1531,0.4990,1.6542,2.2057,0.5815,1.6242,,,,,,,,,,,,,,,,
2009-04,actual,0.1130,2.1532,,,,215.3,,,,0.3881,0.1326,0.2555,0.8415,0.2229,0.6186,1.4648,0.3409,1.1240,2.1091,0.4748,1.6343,2.2566,0.5270,1.7296,2.2812,0.6051,1.6761,,,,,,,,,,,,,,,,
2009-05,actual,0.0990,2.6081,,,,260.8,,,,0.3621,0.1368,0.2252,0.8583,0.2101,0.6482,1.5441,0.3125,1.2316,2.2422,0.4436,1.7986,2.3517,0.4996,1.8521,2.3118,0.5823,1.7295,,,,,,,,,,,,,,,,
2009-06,actual,0.1100,2.3684,,,,236.8,,,,0.3216,0.1401,0.1815,0.7323,0.2195,0.5128,1.3951,0.3242,1.0709,2.1495,0.4539,1.6956,2.2935,0.5080,1.7855,2.3337,0.5891,1.7446,,,,,,,,,,,,,,,,
2009-07,actual,0.1050,2.2814,,,,228.1,,,,0.3044,0.1481,0.1563,0.7335,0.2385,0.4950,1.4657,0.3489,1.1168,2.2498,0.4780,1.7718,2.4285,0.5286,1.8999,2.5254,0.6065,1.9189,,,,,,,,,,,,,,,,
2009-08,actual,0.1100,2.2676,,,,226.8,,,,0.2416,0.1386,0.1030,0.6360,0.2657,0.3703,1.3931,0.3855,1.0076,2.1914,0.4882,1.7032,2.3400,0.5090,1.8309,2.4050,0.5769,1.8281,,,,,,,,,,,,,,,,
2009-09,actual,0.1030,2.1080,,,,210.8,,,,0.2404,0.1509,0.0895,0.6062,0.3253,0.2809,1.3622,0.4600,0.9021,2.1605,0.5331,1.6274,2.3082,0.5186,1.7896,2.3229,0.5714,1.7515,,,,,,,,,,,,,,,,
2009-10,actual,0.1120,2.2512,,,,225.1,,,,0.2632,0.1677,0.0955,0.6973,0.3934,0.3039,1.4803,0.5509,0.9295,2.2253,0.6042,1.6211,2.3581,0.5603,1.7978,2.4214,0.6010,1.8204,,,,,,,,,,,,,,,,
2009-11,actual,0.1130,2.2338,,,,223.4,,,,0.2318,0.1622,0.0696,0.5798,0.4307,0.1491,1.3672,0.6078,0.7594,2.1298,0.6505,1.4793,2.2558,0.5902,1.6656,2.2909,0.6282,1.6627,,,,,,,,,,,,,,,,
2009-12,actual,0.0940,2.5504,,,,255.0,,,,0.1397,0.1371,0.0026,0.4924,0.4711,0.0213,1.3686,0.6877,0.6809,2.2104,0.7285,1.4819,2.3693,0.6514,1.7178,2.3978,0.6833,1.7144,,,,,,,,,,,,,,,,
2010-01,actual,0.0950,2.5299,,,,253.0,,,,0.1524,0.1467,0.0057,0.5149,0.4676,0.0474,1.4069,0.6762,0.7307,2.2275,0.7206,1.5068,2.3858,0.6500,1.7358,2.4156,0.6849,1.7307,,,,,,,,,,,,,,,,
2010-02,actual,0.0970,2.5723,,,,257.2,,,,0.1518,0.1448,0.0070,0.5253,0.4683,0.0570,1.3999,0.6775,0.7224,2.2528,0.7183,1.5345,2.3950,0.6443,1.7506,2.4231,0.6783,1.7447,,,,,,,,,,,,,,,,
2010-03,actual,0.0820,2.5345,,,,253.4,,,,0.1651,0.1424,0.0227,0.5688,0.4897,0.0791,1.4833,0.7107,0.7726,2.2852,0.7465,1.5387,2.4102,0.6629,1.7473,2.3877,0.6947,1.6930,,,,,,,,,,,,,,,,
2010-04,actual,0.0960,2.3274,,,,232.7,,,,0.1553,0.1290,0.0263,0.4737,0.4453,0.0284,1.3735,0.6458,0.7277,2.1681,0.6785,1.4896,2.2619,0.6004,1.6614,2.2472,0.6370,1.6102,,,,,,,,,,,,,,,,
2010-05,actual,0.0890,2.0510,,,,205.1,,,,0.1579,0.1193,0.0387,0.4508,0.4203,0.0304,1.3710,0.6122,0.7588,2.1492,0.6479,1.5013,2.2234,0.5766,1.6468,2.2183,0.6182,1.6001,,,,,,,,,,,,,,,,
2010-06,actual,0.0960,1.7898,,,,179.0,,,,0.1389,0.1056,0.0334,0.3431,0.3629,-0.0198,1.1707,0.5327,0.6380,1.9342,0.5725,1.3617,2.0413,0.5127,1.5285,2.0581,0.5545,1.5036,,,,,,,,,,,,,,,,
2010-07,actual,0.0980,1.9142,,,,191.4,,,,0.1374,0.0998,0.0377,0.3541,0.3326,0.0215,1.1623,0.4902,0.6722,1.8407,0.5346,1.3061,1.9344,0.4831,1.4513,1.9825,0.5276,1.4549,,,,,,,,,,,,,,,,
2010-08,actual,0.0950,1.2681,,,,126.8,,,,0.1162,0.0841,0.0321,0.2791,0.3097,-0.0306,1.0801,0.4661,0.6140,1.7632,0.5175,1.2457,1.8676,0.4737,1.3939,1.8702,0.5220,1.3482,,,,,,,,,,,,,,,,
2010-09,actual,0.1130,1.4675,,,,146.8,,,,0.1312,0.0892,0.0420,0.2620,0.3077,-0.0457,1.0382,0.4609,0.5773,1.8041,0.5106,1.2935,1.9414,0.4668,1.4747,1.9329,0.5121,1.4208,,,,,,,,,,,,,,,,
2010-10,actual,0.0930,1.7923,,,,179.2,,,,0.1335,0.1112,0.0224,0.3015,0.3295,-0.0280,1.0353,0.4838,0.5515,1.9243,0.5384,1.3859,2.0985,0.4995,1.5990,2.1370,0.5438,1.5932,,,,,,,,,,,,,,,,
2010-11,actual,0.0900,1.8329,,,,183.3,,,,0.1908,0.1328,0.0580,0.4626,0.3796,0.0830,1.2991,0.5420,0.7571,2.0794,0.5833,1.4962,2.1896,0.5277,1.6618,2.1925,0.5701,1.6224,,,,,,,,,,,,,,,,
2010-12,actual,0.0790,2.1436,,,,214.4,,,,0.1650,0.1191,0.0459,0.4022,0.3705,0.0317,1.2012,0.5339,0.6673,1.9964,0.5710,1.4253,2.0895,0.5117,1.5778,2.1200,0.5539,1.5661,,,,,,,,,,,,,,,,
2011-01,actual,0.0870,2.4235,,,,242.4,,,,0.1941,0.1343,0.0598,0.4922,0.4141,0.0781,1.3029,0.5984,0.7045,2.0991,0.6406,1.4585,2.2332,0.5775,1.6557,2.3071,0.6153,1.6918,,,,,,,,,,,,,,,,
