YM,phase,seg_1_5_pct,seg_5_10_pct,seg_10_25_pct,seg_25p_pct
2026-08,actual,58.287,51.784,26.082,13.732
2026-09,projection,58.484,51.716,26.156,13.787
2026-10,projection,57.637,50.504,25.415,13.994
2026-11,projection,57.425,50.140,25.381,14.046
2026-12,projection,57.312,49.811,25.346,14.042
2027-01,projection,56.429,48.478,24.793,14.329
2027-02,projection,56.164,48.160,24.753,14.322
2027-03,projection,55.625,47.848,24.714,14.372
2027-04,projection,54.752,46.128,24.202,14.614
2027-05,projection,54.444,45.782,24.164,14.637
2027-06,projection,54.090,45.460,24.126,14.602
2027-07,projection,53.690,43.801,23.581,14.749
2027-08,projection,53.423,43.490,23.546,14.711
2027-09,projection,53.182,43.185,23.516,14.736
2027-10,projection,52.426,41.161,23.188,14.832
2027-11,projection,52.199,40.844,23.156,14.855
2027-12,projection,51.944,40.585,23.124,14.816
2028-01,projection,51.725,38.850,22.739,14.681
2028-02,projection,51.470,38.594,22.708,14.644
2028-03,projection,51.118,38.327,22.675,14.627
2028-04,projection,51.151,36.117,22.361,14.043
2028-05,projection,50.929,35.893,22.328,14.056
2028-06,projection,50.713,35.624,22.314,14.012
2028-07,projection,50.217,33.630,22.010,14.300
2028-08,projection,49.971,33.423,21.988,14.252
2028-09,projection,49.764,33.212,21.975,14.266
2028-10,projection,49.115,31.254,21.728,14.274
2028-11,projection,48.913,31.046,21.707,14.287
2028-12,projection,48.714,30.870,21.687,14.239
2029-01,projection,48.180,29.589,21.371,14.368
2029-02,projection,47.955,29.425,21.352,14.318
2029-03,projection,47.724,29.245,21.323,14.322
2029-04,projection,47.019,27.998,21.350,13.734
2029-05,projection,46.795,27.826,21.326,13.743
2029-06,projection,46.574,27.647,21.319,13.697
2029-07,projection,45.960,26.476,21.052,13.940
2029-08,projection,45.721,26.329,21.038,13.889
2029-09,projection,45.519,26.184,21.036,13.902
2029-10,projection,44.485,25.227,20.880,14.204
2029-11,projection,44.290,25.072,20.866,14.212
2029-12,projection,44.029,24.943,20.853,14.158
2030-01,projection,43.372,23.762,20.797,14.543
2030-02,projection,43.157,23.644,20.784,14.484
2030-03,projection,42.888,23.475,20.777,14.464
2030-04,projection,42.293,22.434,21.109,13.665
2030-05,projection,42.035,22.291,21.096,13.651
2030-06,projection,41.782,22.141,21.099,13.582
2030-07,projection,40.497,21.316,21.050,13.887
2030-08,projection,40.238,21.194,21.045,13.811
2030-09,projection,40.014,21.074,21.057,13.805
2030-10,projection,38.523,20.566,21.140,14.048
2030-11,projection,38.553,20.438,21.135,14.035
2030-12,projection,38.546,20.331,21.130,13.959
