ym,tp_30y,tp_40y
2011-01,1.648435360415014,1.6826130634737004
2011-02,1.6132787837985587,1.7101767382086197
2011-03,1.6934370733953288,1.831209638430216
2011-04,1.695622248864862,1.8246721400953976
2011-05,1.6169768970117495,1.749995838684032
2011-06,1.58218125689484,1.754601628115568
2011-07,1.6020465126736476,1.8261569846360808
2011-08,1.578173903125447,1.874674189191361
2011-09,1.4402930601738335,1.6305646215990828
2011-10,1.4708733414787596,1.7691885832214955
2011-11,1.4820293475009136,1.732648728956096
2011-12,1.4570058296107304,1.6912360057018931
2012-01,1.4572149284402598,1.7030830070369194
2012-02,1.454357412172226,1.6715385377999206
2012-03,1.4301456517374591,1.5998784882213544
2012-04,1.452247104573842,1.6373901837780385
2012-05,1.3895210112939749,1.5722871606447049
2012-06,1.4452112355994693,1.6701121260833014
2012-07,1.3867171308087176,1.5994451076353802
2012-08,1.407817721575486,1.6494722459780733
2012-09,1.4150176813513906,1.6087289213238782
2012-10,1.4422316536056248,1.6453407470541954
2012-11,1.4379574445346746,1.6203882677227437
2012-12,1.4655274260450497,1.6055010857962362
2013-01,1.4936500639355828,1.6323127512758275
2013-02,1.3519340168445315,1.460758324752371
2013-03,1.1018467151567974,1.1235527145862028
2013-04,1.164019385218803,1.1209024543854378
2013-05,1.1653303184132675,1.2011672751192004
2013-06,1.2894649090298456,1.2762060030142877
2013-07,1.3032332526245636,1.2747246817544515
2013-08,1.2574059312500148,1.2616589666466562
2013-09,1.1975122060936496,1.1859030954850842
2013-10,1.1999523886851755,1.1658295196300583
2013-11,1.173103921701288,1.16167815928803
2013-12,1.177198242955741,1.1275923655043298
2014-01,1.108910644355244,1.0764113006870524
2014-02,1.1114555042101062,1.0791372250419784
2014-03,1.1356093924298618,1.111899201973789
2014-04,1.1513592438491496,1.1432736657388054
2014-05,1.1506513125573572,1.1529500293112376
2014-06,1.102297276303542,1.140699900272876
2014-07,1.1209278569650822,1.1426637275828622
2014-08,1.0478408471745886,1.1263587116083498
2014-09,1.0213924324419137,1.0761197459410206
